Date,Open,High,Low,Close,Volume,Adj Close
2014-12-29,80.49,80.96,77.86,78.02,16181900,78.02
2014-12-22,80.08,82.17,80.00,80.78,17398600,80.78
2014-12-15,78.46,80.00,74.59,79.88,33542400,79.88
2014-12-08,76.18,78.88,74.78,77.83,28971300,77.83
2014-12-01,77.26,77.31,74.40,76.36,20774700,76.36
2014-11-24,73.54,78.27,73.35,77.70,25760300,77.70
2014-11-17,74.88,75.66,72.51,73.75,23408600,73.75
2014-11-10,75.36,75.48,73.54,74.88,22550500,74.88
2014-11-03,75.47,76.80,73.65,75.60,31624600,75.60
2014-10-27,80.74,81.16,72.90,74.99,67089200,74.99
2014-10-20,75.60,80.82,75.38,80.67,35213100,80.67
2014-10-13,73.23,76.00,70.32,75.95,57127200,75.95
2014-10-06,77.19,77.95,72.76,72.91,33731000,72.91
2014-09-29,78.12,79.71,75.64,77.44,36969600,77.44
2014-09-22,77.00,78.94,75.95,78.79,33172000,78.79
2014-09-15,77.15,78.30,73.07,77.91,43163200,77.91
2014-09-08,77.26,78.36,76.20,77.48,29187400,77.48
2014-09-02,75.01,77.48,74.82,77.26,30880000,77.26
2014-08-25,74.94,75.99,73.73,74.82,25647600,74.82
2014-08-18,74.00,75.58,73.57,74.57,22913800,74.57
2014-08-11,73.46,74.65,72.22,73.63,28465900,73.63
2014-08-04,72.36,74.00,71.79,73.06,32418400,73.06
2014-07-28,75.17,75.50,71.55,72.36,41485800,72.36
2014-07-21,68.81,76.74,68.50,75.19,67691400,75.19
2014-07-14,67.13,68.46,66.04,68.42,38597600,68.42
2014-07-07,66.30,66.59,62.21,66.34,46547400,66.34
2014-06-30,67.46,68.44,65.76,66.29,31885800,66.29
2014-06-23,64.32,68.00,64.22,67.60,46075600,67.60
2014-06-16,64.16,65.75,63.35,64.50,35008400,64.50
2014-06-09,62.40,66.47,61.79,64.50,47242900,64.50
2014-06-02,63.23,64.36,62.05,62.50,38894400,62.50
2014-05-27,61.62,64.30,61.57,63.30,47857600,63.30
2014-05-19,57.89,61.48,57.57,61.35,49690200,61.35
2014-05-12,57.98,60.89,57.31,58.02,49855200,58.02
2014-05-05,59.67,61.35,56.26,57.24,58876000,57.24
2014-04-28,58.05,62.28,54.66,60.46,79205200,60.46
2014-04-21,59.46,63.65,57.57,57.71,89766200,57.71
2014-04-14,60.09,60.58,55.88,58.94,86940500,58.94
2014-04-07,55.90,63.18,55.44,58.53,98795800,58.53
2014-03-31,60.78,63.91,56.32,56.75,77530400,56.75
2014-03-24,67.19,67.36,57.98,60.01,86337500,60.01
2014-03-17,68.18,69.60,66.18,67.24,48288700,67.24
2014-03-10,70.77,72.59,67.46,67.72,54187600,67.72
2014-03-03,66.96,71.97,66.51,69.80,51671700,69.80
2014-02-24,68.74,71.44,67.38,68.46,58491400,68.46
2014-02-18,66.94,70.11,65.73,68.59,76939500,68.59
2014-02-10,64.30,67.58,63.35,67.09,47046000,67.09
2014-02-03,63.03,64.57,60.70,64.32,55065600,64.32
2014-01-27,54.73,63.37,51.85,62.57,90616800,62.57
2014-01-21,56.60,59.31,54.40,54.45,53293600,54.45
2014-01-13,57.91,58.57,55.38,56.30,41913700,56.30
2014-01-06,54.42,58.96,54.05,57.94,67489000,57.94
2014-01-02,54.83,55.65,54.19,54.56,40720800,54.56
