Date,Open,High,Low,Close,Volume,Adj Close
2014-12-29,47.70,47.78,46.45,46.45,17458900,46.12
2014-12-22,47.78,48.80,47.71,47.88,18712400,47.54
2014-12-15,47.20,48.10,44.90,47.66,43335300,47.32
2014-12-08,48.26,48.35,46.67,46.95,28946800,46.62
2014-12-01,47.88,49.06,47.71,48.42,27620600,48.08
2014-11-24,47.99,48.20,47.28,47.81,28035000,47.47
2014-11-17,49.41,49.71,47.57,47.98,28974300,47.64
2014-11-10,48.65,50.05,48.52,49.58,27565500,48.92
2014-11-03,46.89,48.92,46.73,48.68,25629800,48.03
2014-10-27,45.71,46.97,45.71,46.95,31119100,46.33
2014-10-20,43.06,46.90,42.81,46.13,42212200,45.52
2014-10-13,43.82,44.56,42.10,43.63,45031600,43.05
2014-10-06,46.12,46.89,43.95,44.03,33151900,43.44
2014-09-29,45.98,46.56,45.61,46.09,30957000,45.48
2014-09-22,47.30,47.38,45.76,46.41,31771000,45.79
2014-09-15,46.54,47.57,46.10,47.52,68393800,46.89
2014-09-08,46.02,47.02,45.99,46.70,36160500,46.08
2014-09-02,45.43,45.93,44.53,45.91,30019000,45.30
2014-08-25,45.40,45.44,44.61,45.43,18467200,44.83
2014-08-18,44.94,45.47,44.68,45.15,24076200,44.55
2014-08-11,43.26,44.90,43.00,44.79,25119300,43.92
2014-08-04,42.97,43.47,42.21,43.20,28887000,42.36
2014-07-28,44.36,44.51,42.60,42.86,30415300,42.03
2014-07-21,44.56,45.45,44.22,44.50,38105200,43.64
2014-07-14,42.22,45.71,42.03,44.69,47907100,43.82
2014-07-07,41.75,42.12,41.05,42.09,23510800,41.27
2014-06-30,42.17,42.21,41.53,41.80,23474900,40.99
2014-06-23,41.73,42.29,41.43,42.25,32709300,41.43
2014-06-16,41.04,41.91,40.34,41.68,28282800,40.87
2014-06-09,41.39,41.57,40.29,41.23,20861100,40.43
2014-06-02,40.95,41.66,39.86,41.48,23141500,40.67
2014-05-27,40.26,40.97,39.81,40.94,26581900,40.15
2014-05-19,39.61,40.37,39.46,40.12,21295700,39.34
2014-05-12,39.74,40.50,39.27,39.83,27253200,39.06
2014-05-05,39.52,39.90,38.51,39.54,30617100,38.50
2014-04-28,40.14,41.29,39.66,39.69,37581800,38.65
2014-04-21,40.13,40.68,39.30,39.91,34627800,38.86
2014-04-14,39.11,40.42,38.90,40.01,33320100,38.96
2014-04-07,39.96,40.69,39.00,39.21,36233500,38.18
2014-03-31,40.43,41.66,39.64,39.87,37941400,38.82
2014-03-24,40.34,40.99,39.34,40.30,42022100,39.24
2014-03-17,37.90,40.94,37.79,40.16,52026400,39.10
2014-03-10,37.99,38.45,37.51,37.70,26816400,36.71
2014-03-03,37.92,38.48,37.49,37.90,25442700,36.90
2014-02-24,37.69,38.46,37.19,38.31,35796300,37.30
2014-02-18,37.63,38.35,37.21,37.98,32032900,36.98
2014-02-10,36.63,37.86,36.29,37.62,31000600,36.36
2014-02-03,37.74,37.99,35.69,36.56,48637500,35.33
2014-01-27,36.87,37.89,35.75,37.84,52314100,36.57
2014-01-21,36.82,37.55,35.52,36.81,43455200,35.58
2014-01-13,35.99,37.00,34.63,36.38,43324800,35.16
2014-01-06,36.85,36.89,35.40,36.04,43288600,34.83
2014-01-02,37.35,37.40,36.60,36.91,30883500,35.67
